group_target,group_comp,rot_same,ref_same,gref_same,tile_same,user_id,task_id,distance,accuracy
 PMM,CM,FALSE,TRUE,FALSE,FALSE,A1TH0PTGDSBWMO,38216,2,0
 CMM,P2,TRUE,FALSE,FALSE,FALSE,A2602OOFDKNFS8,27445,3,1
 P6M,CM,FALSE,TRUE,TRUE,FALSE,A1TH0PTGDSBWMO,1088,2,0
 PMM,P1,FALSE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,35829,4,1
 PGG,CMM,TRUE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,30407,3,1
 P1,CMM,FALSE,FALSE,FALSE,FALSE,A1TH0PTGDSBWMO,53462,4,1
 P3M1,P4G,FALSE,TRUE,TRUE,FALSE,A2602OOFDKNFS8,10402,3,0
 PM,P2,FALSE,FALSE,TRUE,FALSE,A1TH0PTGDSBWMO,47287,3,0
 P3,PMG,FALSE,FALSE,FALSE,FALSE,A2602OOFDKNFS8,13805,3,0
 PMM,P4M,FALSE,TRUE,FALSE,FALSE,A1TH0PTGDSBWMO,35460,3,1
 P4,PG,FALSE,TRUE,FALSE,FALSE,A2602OOFDKNFS8,24186,3,1
 P3M1,P4,FALSE,FALSE,FALSE,FALSE,A1TH0PTGDSBWMO,11790,4,1
 P31M,PGG,FALSE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,8668,3,1
 CMM,P1,FALSE,FALSE,FALSE,FALSE,A1TH0PTGDSBWMO,26877,4,1
 P31M,CMM,FALSE,TRUE,TRUE,FALSE,A2602OOFDKNFS8,9263,2,1
 P31M,P3,TRUE,FALSE,FALSE,TRUE,A1TH0PTGDSBWMO,9092,1,1
 PMG,P4M,FALSE,TRUE,TRUE,FALSE,A2602OOFDKNFS8,32266,4,1
 P4M,P3,FALSE,FALSE,FALSE,FALSE,A1TH0PTGDSBWMO,21296,5,0
 CMM,P4,FALSE,FALSE,FALSE,FALSE,A2602OOFDKNFS8,28451,2,1
 PMM,P6,FALSE,FALSE,TRUE,FALSE,A1TH0PTGDSBWMO,37835,3,1
 P1,PGG,FALSE,TRUE,FALSE,FALSE,A2602OOFDKNFS8,52873,2,1
 P1,P4,FALSE,TRUE,TRUE,FALSE,A1TH0PTGDSBWMO,52776,2,1
 P4,P3,FALSE,TRUE,TRUE,FALSE,A1TH0PTGDSBWMO,24517,3,1
 P4G,P4,TRUE,FALSE,FALSE,TRUE,A2602OOFDKNFS8,17543,1,0
 P4G,PMG,FALSE,TRUE,TRUE,FALSE,A1TH0PTGDSBWMO,18297,3,0
 P3,PM,FALSE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,13327,3,0
 P4,PM,FALSE,FALSE,TRUE,FALSE,A1TH0PTGDSBWMO,24221,4,1
 PM,P3,FALSE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,45620,3,1
 PM,PMM,FALSE,TRUE,TRUE,TRUE,A2602OOFDKNFS8,45249,3,0
 P3,P4G,FALSE,FALSE,FALSE,FALSE,A1TH0PTGDSBWMO,15524,4,1
 CM,PMG,FALSE,TRUE,TRUE,FALSE,A1TH0PTGDSBWMO,40731,1,1
 P31M,P4M,FALSE,TRUE,TRUE,FALSE,A2602OOFDKNFS8,8532,4,1
 P3M1,P31M,TRUE,TRUE,TRUE,TRUE,A1TH0PTGDSBWMO,10326,1,1
 PG,P4M,FALSE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,42505,5,1
 P3M1,P3,TRUE,FALSE,FALSE,TRUE,A1TH0PTGDSBWMO,11007,1,0
 P4G,CM,FALSE,TRUE,TRUE,FALSE,A2602OOFDKNFS8,19031,4,1
 P3,P6,FALSE,TRUE,TRUE,TRUE,A1TH0PTGDSBWMO,14135,1,1
 PG,P3M1,FALSE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,43035,3,1
 P31M,CM,FALSE,TRUE,TRUE,FALSE,A1TH0PTGDSBWMO,7490,1,1
 P2,P4G,FALSE,FALSE,FALSE,FALSE,A1TH0PTGDSBWMO,50155,2,1
