group_target,group_comp,tile_same,T1_same,T2_same,D1_same,D2_same,same2fold,same3fold,same4fold,same6fold,distance,user_id,task_id,correct
PG,PGG,True,True,False,True,True,False,True,True,True,1,A2602OOFDKNFS8,43252,0
P6,CMM,False,True,True,False,False,True,False,True,False,2,A2P065E9CYMYJL,5408,0
PMM,P4M,False,True,True,False,False,True,True,False,True,3,A2602OOFDKNFS8,35452,1
P31M,P1,False,False,False,True,True,True,False,True,True,2,A2P065E9CYMYJL,7022,1
P3M1,CMM,False,True,True,True,False,False,False,True,True,2,A2602OOFDKNFS8,11170,1
CMM,P2,False,True,True,False,False,True,True,True,True,3,A2P065E9CYMYJL,28740,1
P4M,P31M,False,True,True,False,False,False,False,False,True,4,A2602OOFDKNFS8,20580,1
CMM,CM,True,True,True,True,False,False,True,True,True,3,A2P065E9CYMYJL,27351,0
CM,P4,False,True,True,False,True,False,True,False,True,5,A2602OOFDKNFS8,39322,1
PG,P6,False,False,True,True,True,False,False,True,False,3,A2602OOFDKNFS8,44236,1
P4,PMM,False,False,False,True,True,True,True,False,True,3,A2P065E9CYMYJL,24738,1
CM,P2,False,True,True,False,True,False,True,True,True,4,A2602OOFDKNFS8,39605,1
CMM,P4M,False,False,False,True,True,True,True,False,True,2,A2P065E9CYMYJL,26493,1
CMM,CM,True,True,True,True,False,False,True,True,True,3,A2602OOFDKNFS8,28606,1
P2,P6,False,True,True,True,True,True,False,True,False,1,A2P065E9CYMYJL,50610,1
PM,P2,False,False,True,True,True,False,True,True,True,3,A2602OOFDKNFS8,47299,0
P6M,P31M,True,True,True,False,False,False,True,True,False,1,A2P065E9CYMYJL,2622,0
P4M,PGG,False,False,False,False,False,True,True,False,True,5,A2602OOFDKNFS8,20190,1
PG,PM,True,False,True,True,True,True,True,True,True,1,A2602OOFDKNFS8,44061,1
P3,P4,False,True,True,True,True,False,False,False,True,3,A2P065E9CYMYJL,15638,1
P3M1,PGG,False,False,False,False,True,False,False,True,True,3,A2602OOFDKNFS8,12481,1
P4M,P6,False,False,False,False,False,True,False,False,False,4,A2P065E9CYMYJL,21190,1
P4,P6,False,True,True,True,True,True,False,False,False,2,A2602OOFDKNFS8,22480,1
P31M,P3M1,True,False,False,False,True,True,True,True,True,1,A2P065E9CYMYJL,6514,1
P6,PMM,False,False,False,True,True,True,False,True,False,3,A2602OOFDKNFS8,3618,1
P4,P31M,False,False,False,True,True,False,False,False,True,4,A2602OOFDKNFS8,22484,1
P6M,PGG,False,False,False,False,False,True,False,True,False,4,A2P065E9CYMYJL,2906,1
P6M,P3,True,False,False,False,False,False,True,True,False,2,A2602OOFDKNFS8,2683,1
PMM,PMG,True,False,True,True,True,True,True,True,True,1,A2602OOFDKNFS8,35640,1
P6,P2,False,True,True,True,True,True,False,True,False,1,A2P065E9CYMYJL,6326,1
PGG,P4,False,False,False,True,True,True,True,False,True,4,A2602OOFDKNFS8,31035,1
CM,CMM,True,True,True,True,False,False,True,True,True,3,A2602OOFDKNFS8,39371,1
P4,PMG,False,False,False,True,True,True,True,False,True,4,A2602OOFDKNFS8,22786,1
PGG,P1,False,False,False,True,True,False,True,True,True,2,A2602OOFDKNFS8,30691,0
P4G,PMG,False,True,False,False,False,True,True,False,True,3,A2602OOFDKNFS8,16400,1
PMM,PG,True,False,False,True,True,False,True,True,True,3,A2602OOFDKNFS8,38279,1
P6,P2,False,True,True,True,True,True,False,True,False,1,A2602OOFDKNFS8,5688,1
PMM,CMM,False,False,False,False,False,True,True,True,True,1,A2602OOFDKNFS8,36813,1
P4,PGG,False,False,False,True,True,True,True,False,True,4,A2602OOFDKNFS8,25312,1
PM,P4,False,False,True,True,True,False,True,False,True,4,A2602OOFDKNFS8,47006,1
